,Z,Z_norm,Z_NH3,phi,yp,yp_src,dyp_dx,H_ele,strain,T,P,K,H2,NH3,NO,N2O,O2,H,O,OH,HO2,H2O,H2O2,NO2,HNO,N,NNH,NH2,NH,H2NO,N2
13,0.084266153,0.090225205,0.080115746,0.6,0.000957821,0.00045425,8.955016025,0.014894908,78.85732103,757.5705553,101325,10.6504344,0.005702095,0.051162974,6.69E-06,7.10E-06,0.211867608,1.28E-08,3.19E-08,8.55E-09,2.14E-05,0.000957821,1.27E-06,2.58E-06,1.55E-06,9.91E-11,5.32E-13,3.23E-06,3.26E-08,5.51E-09,0.730265558
14,0.083496024,0.090225205,0.079344882,0.6,0.001307626,0.000851483,12.64643309,0.014762398,131.1861503,760.406472,101325,10.6504344,0.00555834,0.051003199,9.99E-06,1.12E-05,0.211759163,1.96E-08,5.24E-08,1.59E-08,2.75E-05,0.001307626,1.72E-06,3.68E-06,2.24E-06,2.29E-10,1.23E-12,5.01E-06,5.14E-08,8.04E-09,0.73031011
15,0.082621793,0.090225205,0.07842316,0.6,0.001801628,0.001634187,16.52953667,0.014616183,188.9582032,764.4548054,101325,10.6504344,0.005396266,0.05077739,1.52E-05,1.81E-05,0.211580571,3.04E-08,8.79E-08,3.01E-08,3.53E-05,0.001801628,2.33E-06,5.26E-06,3.26E-06,5.28E-10,2.89E-12,7.80E-06,8.15E-08,1.19E-08,0.730356727
16,0.082143163,0.090225205,0.077896017,0.6,0.00212447,0.002308055,19.89083376,0.014538162,240.7092428,767.1250462,101325,10.6504344,0.005307831,0.050630065,1.89E-05,2.31E-05,0.211450861,3.84E-08,1.16E-07,4.23E-08,3.99E-05,0.00212447,2.71E-06,6.27E-06,3.97E-06,8.24E-10,4.51E-12,9.78E-06,1.04E-07,1.45E-08,0.73038183
17,0.081636566,0.090225205,0.077319985,0.6,0.002512963,0.003288546,23.90663206,0.014457213,303.8600774,770.3614458,101325,10.6504344,0.005214265,0.050453236,2.37E-05,2.98E-05,0.21128354,4.90E-08,1.55E-07,6.00E-08,4.50E-05,0.002512963,3.14E-06,7.46E-06,4.85E-06,1.29E-09,7.11E-12,1.23E-05,1.32E-07,1.79E-08,0.730409301
18,0.081102556,0.090225205,0.076692382,0.6,0.00297989,0.004729618,28.69174336,0.014373723,380.5695296,774.2802443,101325,10.6504344,0.005115482,0.050241383,2.99E-05,3.87E-05,0.211068994,6.31E-08,2.09E-07,8.58E-08,5.07E-05,0.00297989,3.63E-06,8.85E-06,5.96E-06,2.03E-09,1.13E-11,1.54E-05,1.70E-07,2.21E-08,0.730440507
19,0.080542417,0.090225205,0.076011167,0.6,0.003540275,0.006866799,34.37563068,0.014288212,473.281208,779.0193299,101325,10.6504344,0.005011441,0.04998806,3.79E-05,5.03E-05,0.21079539,8.22E-08,2.85E-07,1.24E-07,5.71E-05,0.003540275,4.18E-06,1.04E-05,7.33E-06,3.20E-09,1.81E-11,1.95E-05,2.19E-07,2.73E-08,0.730477403
20,0.079958344,0.090225205,0.075275249,0.6,0.004211674,0.010062756,41.10184446,0.014201355,584.7006,784.7410909,101325,10.6504344,0.004902149,0.049685773,4.83E-05,6.56E-05,0.210448247,1.09E-07,3.94E-07,1.80E-07,6.39E-05,0.004211674,4.79E-06,1.22E-05,9.04E-06,5.09E-09,2.91E-11,2.45E-05,2.85E-07,3.39E-08,0.730522705
21,0.079353641,0.090225205,0.07448487,0.6,0.005014445,0.0148764,49.0261598,0.014113998,717.7353486,791.6350279,101325,10.6504344,0.004787669,0.049325854,6.18E-05,8.57E-05,0.210009987,1.46E-07,5.49E-07,2.65E-07,7.14E-05,0.005014445,5.46E-06,1.41E-05,1.12E-05,8.15E-09,4.72E-11,3.10E-05,3.71E-07,4.21E-08,0.730580098
22,0.078732919,0.090225205,0.07364204,0.6,0.005971987,0.022165781,58.31292092,0.014027167,875.3844598,799.9197449,101325,10.6504344,0.004668125,0.048898339,7.94E-05,0.000111888,0.20945945,1.99E-07,7.74E-07,3.94E-07,7.93E-05,0.005971987,6.17E-06,1.61E-05,1.38E-05,1.32E-08,7.69E-11,3.91E-05,4.88E-07,5.24E-08,0.730654468
