Time_(sec), Pressure_(bar)
1.088670e-03, 1.197342e+00
1.088894e-03, 1.198650e+00
1.089117e-03, 1.199979e+00
1.089319e-03, 1.201193e+00
1.089520e-03, 1.202424e+00
1.089721e-03, 1.203674e+00
1.089922e-03, 1.204941e+00
1.090123e-03, 1.206228e+00
1.090324e-03, 1.207534e+00
1.090505e-03, 1.208726e+00
1.090686e-03, 1.209934e+00
1.090867e-03, 1.211159e+00
1.091030e-03, 1.212277e+00
1.091193e-03, 1.213408e+00
1.091356e-03, 1.214554e+00
1.091519e-03, 1.215715e+00
1.091682e-03, 1.216891e+00
1.091845e-03, 1.218082e+00
1.092008e-03, 1.219289e+00
1.092171e-03, 1.220512e+00
1.092333e-03, 1.221751e+00
1.092496e-03, 1.223008e+00
1.092659e-03, 1.224281e+00
1.092822e-03, 1.225573e+00
1.092985e-03, 1.226882e+00
1.093148e-03, 1.228209e+00
1.093311e-03, 1.229556e+00
1.093474e-03, 1.230922e+00
1.093637e-03, 1.232307e+00
1.093800e-03, 1.233713e+00
1.093963e-03, 1.235140e+00
1.094125e-03, 1.236588e+00
1.094272e-03, 1.237910e+00
1.094419e-03, 1.239250e+00
1.094565e-03, 1.240608e+00
1.094712e-03, 1.241986e+00
1.094859e-03, 1.243383e+00
1.094991e-03, 1.244657e+00
1.095123e-03, 1.245948e+00
1.095254e-03, 1.247255e+00
1.095386e-03, 1.248580e+00
1.095518e-03, 1.249922e+00
1.095650e-03, 1.251282e+00
1.095782e-03, 1.252660e+00
1.095914e-03, 1.254058e+00
1.096046e-03, 1.255474e+00
1.096178e-03, 1.256911e+00
1.096310e-03, 1.258367e+00
1.096442e-03, 1.259844e+00
1.096574e-03, 1.261343e+00
1.096693e-03, 1.262710e+00
1.096812e-03, 1.264094e+00
1.096930e-03, 1.265498e+00
1.097049e-03, 1.266920e+00
1.097168e-03, 1.268361e+00
1.097287e-03, 1.269822e+00
1.097405e-03, 1.271304e+00
1.097512e-03, 1.272654e+00
1.097619e-03, 1.274022e+00
1.097726e-03, 1.275407e+00
1.097833e-03, 1.276810e+00
1.097940e-03, 1.278232e+00
1.098047e-03, 1.279672e+00
1.098154e-03, 1.281131e+00
1.098261e-03, 1.282609e+00
1.098367e-03, 1.284108e+00
1.098474e-03, 1.285627e+00
1.098571e-03, 1.287012e+00
1.098667e-03, 1.288415e+00
1.098763e-03, 1.289835e+00
1.098859e-03, 1.291273e+00
1.098955e-03, 1.292730e+00
1.099052e-03, 1.294205e+00
1.099148e-03, 1.295700e+00
1.099234e-03, 1.297063e+00
1.099321e-03, 1.298442e+00
1.099407e-03, 1.299838e+00
1.099485e-03, 1.301108e+00
1.099563e-03, 1.302393e+00
1.099641e-03, 1.303692e+00
1.099719e-03, 1.305006e+00
1.099797e-03, 1.306335e+00
1.099875e-03, 1.307679e+00
1.099953e-03, 1.309039e+00
1.100031e-03, 1.310415e+00
1.100109e-03, 1.311807e+00
1.100187e-03, 1.313215e+00
1.100265e-03, 1.314641e+00
1.100342e-03, 1.316084e+00
1.100420e-03, 1.317544e+00
1.100498e-03, 1.319023e+00
1.100576e-03, 1.320520e+00
1.100654e-03, 1.322036e+00
1.100724e-03, 1.323417e+00
1.100794e-03, 1.324814e+00
1.100865e-03, 1.326227e+00
1.100935e-03, 1.327657e+00
1.101005e-03, 1.329103e+00
1.101075e-03, 1.330568e+00
1.101145e-03, 1.332049e+00
1.101208e-03, 1.333399e+00
1.101271e-03, 1.334763e+00
1.101334e-03, 1.336142e+00
1.101398e-03, 1.337537e+00
1.101461e-03, 1.338948e+00
1.101524e-03, 1.340375e+00
1.101587e-03, 1.341818e+00
1.101650e-03, 1.343279e+00
1.101713e-03, 1.344756e+00
1.101776e-03, 1.346252e+00
1.101839e-03, 1.347765e+00
1.101902e-03, 1.349297e+00
1.101966e-03, 1.350847e+00
1.102029e-03, 1.352417e+00
1.102092e-03, 1.354006e+00
1.102155e-03, 1.355615e+00
1.102218e-03, 1.357245e+00
1.102281e-03, 1.358896e+00
1.102344e-03, 1.360568e+00
1.102407e-03, 1.362262e+00
1.102471e-03, 1.363979e+00
1.102534e-03, 1.365719e+00
1.102597e-03, 1.367483e+00
1.102660e-03, 1.369270e+00
1.102723e-03, 1.371083e+00
1.102786e-03, 1.372921e+00
1.102849e-03, 1.374785e+00
1.102906e-03, 1.376485e+00
1.102963e-03, 1.378208e+00
1.103020e-03, 1.379954e+00
1.103076e-03, 1.381722e+00
1.103133e-03, 1.383515e+00
1.103190e-03, 1.385331e+00
1.103247e-03, 1.387173e+00
1.103304e-03, 1.389041e+00
1.103360e-03, 1.390934e+00
1.103417e-03, 1.392855e+00
1.103468e-03, 1.394607e+00
1.103520e-03, 1.396382e+00
1.103571e-03, 1.398180e+00
1.103622e-03, 1.400003e+00
1.103673e-03, 1.401849e+00
1.103724e-03, 1.403722e+00
1.103775e-03, 1.405619e+00
1.103826e-03, 1.407544e+00
1.103877e-03, 1.409495e+00
1.103928e-03, 1.411474e+00
1.103975e-03, 1.413280e+00
1.104021e-03, 1.415109e+00
1.104067e-03, 1.416963e+00
1.104113e-03, 1.418841e+00
1.104159e-03, 1.420744e+00
1.104205e-03, 1.422674e+00
1.104251e-03, 1.424630e+00
1.104297e-03, 1.426613e+00
1.104343e-03, 1.428624e+00
1.104389e-03, 1.430664e+00
1.104435e-03, 1.432733e+00
1.104476e-03, 1.434621e+00
1.104517e-03, 1.436534e+00
1.104559e-03, 1.438472e+00
1.104600e-03, 1.440437e+00
1.104642e-03, 1.442428e+00
1.104683e-03, 1.444447e+00
1.104724e-03, 1.446494e+00
1.104766e-03, 1.448570e+00
1.104807e-03, 1.450675e+00
1.104849e-03, 1.452811e+00
1.104890e-03, 1.454977e+00
1.104932e-03, 1.457175e+00
1.104969e-03, 1.459182e+00
1.105006e-03, 1.461215e+00
1.105043e-03, 1.463276e+00
1.105081e-03, 1.465366e+00
1.105118e-03, 1.467484e+00
1.105155e-03, 1.469632e+00
1.105192e-03, 1.471811e+00
1.105230e-03, 1.474021e+00
1.105267e-03, 1.476263e+00
1.105304e-03, 1.478538e+00
1.105338e-03, 1.480614e+00
1.105371e-03, 1.482717e+00
1.105405e-03, 1.484850e+00
1.105438e-03, 1.487011e+00
1.105472e-03, 1.489202e+00
1.105505e-03, 1.491424e+00
1.105539e-03, 1.493677e+00
1.105573e-03, 1.495962e+00
1.105606e-03, 1.498280e+00
1.105640e-03, 1.500632e+00
1.105673e-03, 1.503017e+00
1.105707e-03, 1.505438e+00
1.105740e-03, 1.507896e+00
1.105770e-03, 1.510139e+00
1.105801e-03, 1.512412e+00
1.105831e-03, 1.514717e+00
1.105861e-03, 1.517054e+00
1.105891e-03, 1.519424e+00
1.105921e-03, 1.521828e+00
1.105952e-03, 1.524265e+00
1.105982e-03, 1.526738e+00
1.106012e-03, 1.529247e+00
1.106042e-03, 1.531792e+00
1.106072e-03, 1.534375e+00
1.106103e-03, 1.536997e+00
1.106133e-03, 1.539658e+00
1.106163e-03, 1.542359e+00
1.106190e-03, 1.544825e+00
1.106217e-03, 1.547326e+00
1.106244e-03, 1.549861e+00
1.106272e-03, 1.552432e+00
1.106299e-03, 1.555039e+00
1.106326e-03, 1.557684e+00
1.106353e-03, 1.560367e+00
1.106380e-03, 1.563088e+00
1.106407e-03, 1.565849e+00
1.106435e-03, 1.568650e+00
1.106462e-03, 1.571493e+00
1.106489e-03, 1.574378e+00
1.106516e-03, 1.577306e+00
1.106543e-03, 1.580278e+00
1.106570e-03, 1.583295e+00
1.106598e-03, 1.586358e+00
1.106625e-03, 1.589467e+00
1.106652e-03, 1.592624e+00
1.106676e-03, 1.595507e+00
1.106701e-03, 1.598431e+00
1.106725e-03, 1.601395e+00
1.106750e-03, 1.604400e+00
1.106774e-03, 1.607448e+00
1.106799e-03, 1.610539e+00
1.106823e-03, 1.613674e+00
1.106848e-03, 1.616852e+00
1.106872e-03, 1.620076e+00
1.106896e-03, 1.623346e+00
1.106921e-03, 1.626662e+00
1.106945e-03, 1.630025e+00
1.106970e-03, 1.633436e+00
1.106994e-03, 1.636895e+00
1.107019e-03, 1.640402e+00
1.107043e-03, 1.643959e+00
1.107065e-03, 1.647203e+00
1.107085e-03, 1.650157e+00
1.107105e-03, 1.653145e+00
1.107125e-03, 1.656165e+00
1.107144e-03, 1.659220e+00
1.107162e-03, 1.661997e+00
1.107180e-03, 1.664802e+00
1.107198e-03, 1.667634e+00
1.107216e-03, 1.670493e+00
1.107234e-03, 1.673380e+00
1.107251e-03, 1.676294e+00
1.107269e-03, 1.679235e+00
1.107287e-03, 1.682203e+00
1.107305e-03, 1.685198e+00
1.107323e-03, 1.688220e+00
1.107341e-03, 1.691269e+00
1.107358e-03, 1.694343e+00
1.107376e-03, 1.697443e+00
1.107390e-03, 1.699938e+00
1.107405e-03, 1.702448e+00
1.107419e-03, 1.704975e+00
1.107433e-03, 1.707516e+00
1.107446e-03, 1.709817e+00
1.107459e-03, 1.712130e+00
1.107472e-03, 1.714454e+00
1.107484e-03, 1.716789e+00
1.107497e-03, 1.719136e+00
1.107510e-03, 1.721494e+00
1.107523e-03, 1.723862e+00
1.107536e-03, 1.726240e+00
1.107548e-03, 1.728628e+00
1.107561e-03, 1.731026e+00
1.107574e-03, 1.733431e+00
1.107587e-03, 1.735846e+00
1.107600e-03, 1.738268e+00
1.107613e-03, 1.740697e+00
1.107625e-03, 1.743133e+00
1.107638e-03, 1.745575e+00
1.107651e-03, 1.748023e+00
1.107661e-03, 1.749857e+00
1.107670e-03, 1.751694e+00
1.107680e-03, 1.753532e+00
1.107689e-03, 1.755373e+00
1.107698e-03, 1.757030e+00
1.107707e-03, 1.758689e+00
1.107715e-03, 1.760348e+00
1.107724e-03, 1.762008e+00
1.107732e-03, 1.763668e+00
1.107741e-03, 1.765328e+00
1.107750e-03, 1.766987e+00
1.107758e-03, 1.768646e+00
1.107767e-03, 1.770304e+00
1.107776e-03, 1.771961e+00
1.107784e-03, 1.773616e+00
1.107793e-03, 1.775269e+00
1.107801e-03, 1.776920e+00
1.107810e-03, 1.778569e+00
1.107819e-03, 1.780215e+00
1.107827e-03, 1.781858e+00
1.107836e-03, 1.783497e+00
1.107845e-03, 1.785132e+00
1.107853e-03, 1.786763e+00
1.107862e-03, 1.788390e+00
1.107870e-03, 1.790012e+00
1.107878e-03, 1.791467e+00
1.107885e-03, 1.792772e+00
1.107892e-03, 1.794074e+00
1.107899e-03, 1.795371e+00
1.107906e-03, 1.796664e+00
1.107913e-03, 1.797953e+00
1.107920e-03, 1.799237e+00
1.107927e-03, 1.800516e+00
1.107934e-03, 1.801789e+00
1.107941e-03, 1.803058e+00
1.107948e-03, 1.804320e+00
1.107955e-03, 1.805577e+00
1.107962e-03, 1.806828e+00
1.107969e-03, 1.808072e+00
1.107976e-03, 1.809310e+00
1.107983e-03, 1.810541e+00
1.107990e-03, 1.811765e+00
1.107997e-03, 1.812982e+00
1.108004e-03, 1.814192e+00
1.108011e-03, 1.815394e+00
1.108018e-03, 1.816588e+00
1.108025e-03, 1.817774e+00
1.108032e-03, 1.818952e+00
1.108039e-03, 1.820121e+00
1.108046e-03, 1.821282e+00
1.108053e-03, 1.822433e+00
1.108060e-03, 1.823575e+00
1.108067e-03, 1.824708e+00
1.108074e-03, 1.825831e+00
1.108081e-03, 1.826945e+00
1.108088e-03, 1.828048e+00
1.108095e-03, 1.829141e+00
1.108102e-03, 1.830224e+00
1.108109e-03, 1.831296e+00
1.108116e-03, 1.832358e+00
1.108123e-03, 1.833408e+00
1.108130e-03, 1.834447e+00
1.108137e-03, 1.835474e+00
1.108144e-03, 1.836490e+00
1.108151e-03, 1.837495e+00
1.108158e-03, 1.838487e+00
1.108165e-03, 1.839467e+00
1.108172e-03, 1.840435e+00
1.108179e-03, 1.841391e+00
1.108186e-03, 1.842334e+00
1.108193e-03, 1.843265e+00
1.108200e-03, 1.844183e+00
1.108207e-03, 1.845087e+00
1.108214e-03, 1.845979e+00
1.108221e-03, 1.846858e+00
1.108228e-03, 1.847723e+00
1.108235e-03, 1.848575e+00
1.108242e-03, 1.849414e+00
1.108249e-03, 1.850239e+00
1.108263e-03, 1.851848e+00
1.108277e-03, 1.853402e+00
1.108291e-03, 1.854902e+00
1.108305e-03, 1.856346e+00
1.108318e-03, 1.857735e+00
1.108332e-03, 1.859068e+00
1.108346e-03, 1.860347e+00
1.108360e-03, 1.861571e+00
1.108374e-03, 1.862741e+00
1.108388e-03, 1.863858e+00
1.108402e-03, 1.864869e+00
1.108414e-03, 1.865785e+00
1.108427e-03, 1.866659e+00
1.108439e-03, 1.867494e+00
1.108458e-03, 1.868671e+00
1.108476e-03, 1.869693e+00
1.108493e-03, 1.870610e+00
1.108510e-03, 1.871464e+00
1.108532e-03, 1.872509e+00
1.108553e-03, 1.873385e+00
1.108577e-03, 1.874289e+00
1.108605e-03, 1.875208e+00
1.108632e-03, 1.876014e+00
1.108664e-03, 1.876828e+00
1.108701e-03, 1.877616e+00
1.108747e-03, 1.878427e+00
1.108802e-03, 1.879208e+00
1.108866e-03, 1.879936e+00
1.108944e-03, 1.880666e+00
1.109027e-03, 1.881352e+00
1.109109e-03, 1.882012e+00
1.109192e-03, 1.882679e+00
1.109270e-03, 1.883327e+00
1.109348e-03, 1.883997e+00
1.109426e-03, 1.884686e+00
1.109499e-03, 1.885350e+00
1.109572e-03, 1.886025e+00
1.109646e-03, 1.886709e+00
1.109719e-03, 1.887399e+00
1.109788e-03, 1.888049e+00
1.109856e-03, 1.888701e+00
1.109925e-03, 1.889353e+00
1.109994e-03, 1.890004e+00
1.110063e-03, 1.890653e+00
1.110141e-03, 1.891386e+00
1.110215e-03, 1.892080e+00
1.110289e-03, 1.892769e+00
1.110364e-03, 1.893453e+00
1.110438e-03, 1.894132e+00
1.110512e-03, 1.894806e+00
1.110586e-03, 1.895473e+00
1.110661e-03, 1.896135e+00
1.110735e-03, 1.896791e+00
1.110809e-03, 1.897441e+00
1.110883e-03, 1.898084e+00
1.110966e-03, 1.898792e+00
1.111049e-03, 1.899493e+00
1.111131e-03, 1.900186e+00
1.111214e-03, 1.900873e+00
1.111296e-03, 1.901552e+00
1.111379e-03, 1.902224e+00
1.111461e-03, 1.902889e+00
1.111544e-03, 1.903548e+00
1.111626e-03, 1.904200e+00
1.111709e-03, 1.904845e+00
1.111791e-03, 1.905484e+00
1.111874e-03, 1.906117e+00
1.111956e-03, 1.906745e+00
1.112054e-03, 1.907477e+00
1.112143e-03, 1.908140e+00
1.112232e-03, 1.908797e+00
1.112321e-03, 1.909448e+00
1.112410e-03, 1.910093e+00
1.112499e-03, 1.910731e+00
1.112588e-03, 1.911364e+00
1.112678e-03, 1.911992e+00
1.112785e-03, 1.912737e+00
1.112892e-03, 1.913475e+00
1.112998e-03, 1.914206e+00
1.113105e-03, 1.914929e+00
1.113212e-03, 1.915646e+00
1.113319e-03, 1.916356e+00
1.113426e-03, 1.917060e+00
1.113533e-03, 1.917758e+00
1.113640e-03, 1.918449e+00
1.113747e-03, 1.919135e+00
1.113854e-03, 1.919816e+00
1.113961e-03, 1.920491e+00
1.114068e-03, 1.921161e+00
1.114175e-03, 1.921825e+00
1.114282e-03, 1.922485e+00
1.114389e-03, 1.923140e+00
1.114496e-03, 1.923791e+00
1.114603e-03, 1.924437e+00
1.114710e-03, 1.925079e+00
1.114817e-03, 1.925716e+00
1.114924e-03, 1.926350e+00
1.115031e-03, 1.926980e+00
1.115138e-03, 1.927605e+00
1.115244e-03, 1.928228e+00
1.115351e-03, 1.928846e+00
1.115458e-03, 1.929461e+00
1.115565e-03, 1.930072e+00
1.115672e-03, 1.930681e+00
1.115779e-03, 1.931285e+00
1.115913e-03, 1.932037e+00
1.116047e-03, 1.932784e+00
1.116180e-03, 1.933526e+00
1.116314e-03, 1.934263e+00
1.116474e-03, 1.935142e+00
1.116619e-03, 1.935928e+00
1.116763e-03, 1.936709e+00
1.116908e-03, 1.937485e+00
1.117052e-03, 1.938256e+00
1.117196e-03, 1.939023e+00
1.117341e-03, 1.939785e+00
1.117485e-03, 1.940543e+00
1.117630e-03, 1.941296e+00
1.117774e-03, 1.942046e+00
1.117918e-03, 1.942791e+00
1.118063e-03, 1.943532e+00
1.118207e-03, 1.944269e+00
1.118351e-03, 1.945002e+00
1.118496e-03, 1.945731e+00
1.118640e-03, 1.946457e+00
1.118785e-03, 1.947179e+00
1.118977e-03, 1.948135e+00
1.119150e-03, 1.948990e+00
1.119324e-03, 1.949840e+00
1.119497e-03, 1.950685e+00
1.119670e-03, 1.951525e+00
1.119843e-03, 1.952360e+00
1.120017e-03, 1.953190e+00
1.120190e-03, 1.954015e+00
1.120363e-03, 1.954836e+00
1.120537e-03, 1.955651e+00
1.120710e-03, 1.956462e+00
1.120883e-03, 1.957268e+00
1.121056e-03, 1.958069e+00
1.121230e-03, 1.958866e+00
1.121403e-03, 1.959659e+00
1.121576e-03, 1.960447e+00
1.121749e-03, 1.961230e+00
1.121923e-03, 1.962009e+00
1.122096e-03, 1.962783e+00
1.122269e-03, 1.963553e+00
1.122442e-03, 1.964319e+00
1.122616e-03, 1.965080e+00
1.122789e-03, 1.965837e+00
1.122962e-03, 1.966590e+00
1.123136e-03, 1.967339e+00
1.123309e-03, 1.968083e+00
1.123482e-03, 1.968823e+00
1.123655e-03, 1.969559e+00
1.123829e-03, 1.970291e+00
1.124002e-03, 1.971019e+00
1.124348e-03, 1.972462e+00
1.124660e-03, 1.973747e+00
1.125008e-03, 1.975162e+00
1.125355e-03, 1.976562e+00
1.125702e-03, 1.977946e+00
1.126050e-03, 1.979315e+00
1.126397e-03, 1.980667e+00
1.126744e-03, 1.982005e+00
1.127091e-03, 1.983327e+00
1.127439e-03, 1.984635e+00
1.127786e-03, 1.985927e+00
1.128133e-03, 1.987205e+00
1.128481e-03, 1.988468e+00
1.128828e-03, 1.989717e+00
1.129175e-03, 1.990951e+00
1.129523e-03, 1.992172e+00
1.129870e-03, 1.993378e+00
1.130217e-03, 1.994570e+00
1.130565e-03, 1.995749e+00
1.130912e-03, 1.996914e+00
1.131259e-03, 1.998065e+00
1.131607e-03, 1.999203e+00
1.131954e-03, 2.000327e+00
1.132301e-03, 2.001439e+00
1.132649e-03, 2.002537e+00
1.132996e-03, 2.003623e+00
1.133343e-03, 2.004696e+00
1.133656e-03, 2.005650e+00
1.133968e-03, 2.006595e+00
1.134281e-03, 2.007529e+00
1.134594e-03, 2.008453e+00
1.134906e-03, 2.009368e+00
1.135219e-03, 2.010272e+00
1.135531e-03, 2.011167e+00
1.135844e-03, 2.012052e+00
1.136157e-03, 2.012928e+00
1.136469e-03, 2.013794e+00
1.137094e-03, 2.015497e+00
1.137720e-03, 2.017164e+00
1.138345e-03, 2.018794e+00
1.138970e-03, 2.020389e+00
1.139595e-03, 2.021948e+00
1.140220e-03, 2.023472e+00
1.141471e-03, 2.026419e+00
1.142721e-03, 2.029235e+00
1.143971e-03, 2.031924e+00
1.145222e-03, 2.034491e+00
1.146472e-03, 2.036940e+00
1.147722e-03, 2.039275e+00
1.148973e-03, 2.041501e+00
1.150223e-03, 2.043622e+00
1.151473e-03, 2.045642e+00
1.152724e-03, 2.047565e+00
1.153974e-03, 2.049394e+00
1.155224e-03, 2.051134e+00
1.156475e-03, 2.052788e+00
1.157600e-03, 2.054206e+00
1.158613e-03, 2.055427e+00
1.159626e-03, 2.056599e+00
1.160639e-03, 2.057721e+00
1.161651e-03, 2.058798e+00
1.162664e-03, 2.059829e+00
1.163576e-03, 2.060719e+00
1.164487e-03, 2.061576e+00
1.165399e-03, 2.062400e+00
1.166310e-03, 2.063192e+00
1.167130e-03, 2.063879e+00
1.167951e-03, 2.064541e+00
1.168771e-03, 2.065180e+00
1.169592e-03, 2.065797e+00
1.170412e-03, 2.066391e+00
1.171232e-03, 2.066964e+00
1.172873e-03, 2.068050e+00
1.174514e-03, 2.069058e+00
1.176154e-03, 2.069993e+00
1.177795e-03, 2.070861e+00
1.179436e-03, 2.071666e+00
1.180913e-03, 2.072339e+00
1.182389e-03, 2.072967e+00
1.183866e-03, 2.073553e+00
1.186081e-03, 2.074358e+00
1.188296e-03, 2.075081e+00
1.190954e-03, 2.075851e+00
1.193612e-03, 2.076525e+00
1.196270e-03, 2.077114e+00
1.200257e-03, 2.077858e+00
1.204243e-03, 2.078460e+00
1.209559e-03, 2.079078e+00
1.216204e-03, 2.079620e+00
1.226836e-03, 2.080103e+00
1.326775e-03, 2.078576e+00
1.365050e-03, 2.077666e+00
1.403325e-03, 2.076830e+00
1.446384e-03, 2.075983e+00
1.494227e-03, 2.075151e+00
1.549725e-03, 2.074316e+00
1.618620e-03, 2.073452e+00
1.704737e-03, 2.072595e+00
1.825303e-03, 2.071722e+00
2.014762e-03, 2.070878e+00
2.583140e-03, 2.070051e+00
1.000000e-01, 2.069905e+00
2.000000e-01, 2.069905e+00
3.000000e-01, 2.069905e+00
4.000000e-01, 2.069905e+00
5.000000e-01, 2.069905e+00
6.000000e-01, 2.069905e+00
7.000000e-01, 2.069905e+00
8.000000e-01, 2.069905e+00
9.000000e-01, 2.069905e+00
1.000000e+00, 2.069905e+00
1.100000e+00, 2.069905e+00
1.200000e+00, 2.069905e+00
1.300000e+00, 2.069905e+00
1.400000e+00, 2.069905e+00
1.500000e+00, 2.069905e+00
1.600000e+00, 2.069905e+00
1.700000e+00, 2.069905e+00
1.800000e+00, 2.069905e+00
